entryDate,exitDate,side,entryPrice,exitPrice,pnl
2024-05-27,2024-05-28,SHORT,0.6644,0.66703,-0.002630000000000021
2024-06-10,2024-06-13,SHORT,0.65972,0.66437,-0.004650000000000043
2024-06-14,2024-06-18,SHORT,0.66143,0.66113,0.00029999999999996696
2024-06-26,2024-06-28,SHORT,0.66586,0.66578,7.999999999996898e-05
2024-11-11,2024-11-21,SHORT,0.65804,0.65213,0.005909999999999971
2024-11-26,2024-11-29,SHORT,0.64987,0.65017,-0.000300000000000078
2024-12-02,2024-12-09,SHORT,0.64814,0.64518,0.0029600000000000737
2024-12-18,2024-12-19,SHORT,0.63221,0.62504,0.00717000000000001
2025-01-07,2025-01-08,LONG,0.62771,0.61964,-0.008070000000000022
2025-01-15,2025-01-16,LONG,0.61988,0.61977,-0.00010999999999994348
2025-01-20,2025-01-29,LONG,0.62044,0.62214,0.0017000000000000348
2025-02-05,2025-02-12,LONG,0.62859,0.62753,-0.0010599999999999499
2025-02-14,2025-02-18,LONG,0.63449,0.63446,-2.999999999997449e-05
2025-05-14,2025-05-15,SHORT,0.64671,0.64072,0.005990000000000051
2025-05-21,2025-05-22,SHORT,0.64437,0.64226,0.0021099999999999453
2025-05-28,2025-05-29,SHORT,0.64374,0.64415,-0.00041000000000002146
2025-07-08,2025-07-11,SHORT,0.65372,0.6572,-0.0034800000000000386
2025-07-16,2025-07-21,SHORT,0.65202,0.65241,-0.00039000000000000146
2025-07-29,2025-08-01,SHORT,0.64964,0.64226,0.007379999999999942
2025-08-15,2025-08-18,SHORT,0.65125,0.651,0.00024999999999997247
2025-08-20,2025-08-22,SHORT,0.64392,0.64246,0.0014600000000000168
2025-11-04,2025-11-06,SHORT,0.64954,0.65169,-0.0021499999999999853
2025-11-17,2025-11-19,SHORT,0.65137,0.6488,0.002569999999999961
2025-11-20,2025-11-24,SHORT,0.64784,0.64571,0.0021299999999999653
2026-03-18,2026-03-20,SHORT,0.70531,0.70668,-0.0013699999999999823
2026-03-23,2026-04-07,SHORT,0.70198,0.69349,0.008489999999999998
